# Cost-value  iter_max
33658231119406.57         100
33658231119489.91         100
33658231119406.94         100
33658231119422.84         100
33658231238173.61         100
33658252789149.11         100
33658231119407.46         100
33658231119771.39         100
33942516157748.00         100
33658231119410.49         100
33942516157748.09         100
33658231138229.54         100
33658231119423.06         100
33658231119552.76         100
33659964664567.69         100
33658231119407.76         100
33658231119409.56         100
33658231119406.59         100
33658231119408.91         100
33658231119419.84         100
33942516157748.00         100
33658231124199.71         100
33658231119422.42         100
33680712098796.08         100
33942516157748.00         100
33658231119530.42         100
33658231152223.20         100
33658231120386.74         100
33658231123743.25         100
33942516157748.61         100
33658231119546.81         100
33658231482914.96         100
33658231119424.79         100
33658231119410.77         100
33658231119641.22         100
33942516157748.02         100
33659702142486.38         100
33658237399728.92         100
33658231119406.55         100
33658284272801.60         100
33942516157748.00         100
33942516157750.68         100
33658231119422.02         100
33942516157748.00         100
33942516157749.55         100
33658231119491.36         100
33658233845957.19         100
33658231119407.14         100
33658231119427.55         100
33658231317054.50         100
33658231120069.22         100
33658231119426.64         100
33658231305376.31         100
33942516157748.01         100
33658231165444.20         100
33658231119449.59         100
33658231220789.38         100
33658231119786.14         100
33942516157748.10         100
33942516157748.00         100
33658306197266.39         100
33658231121261.62         100
33942516157748.02         100
33942516157748.61         100
33658231119406.60         100
33942516157748.00         100
33658231119406.56         100
33942516157748.00         100
33658231119501.95         100
33658231119410.29         100
33942516157748.00         100
33658231119411.41         100
33942516157748.00         100
33658231119409.20         100
33658231119419.26         100
33658231119409.01         100
33942516157748.00         100
33658231119406.95         100
33658231447625.71         100
33658231119448.33         100
33658231119406.70         100
33658231172312.67         100
33658248578557.63         100
33658231344097.42         100
33658231119409.30         100
33942516157747.99         100
33658231134228.61         100
33942516157748.01         100
33942516157748.00         100
33658304299749.83         100
33658359297398.68         100
33658231119406.59         100
33942516157748.02         100
33658231119407.31         100
33658231119733.67         100
33658231119424.63         100
33658231119412.66         100
33661171391538.22         100
33658490944770.25         100
33658231123726.26         100
