# Cost-value  iter_max
10160937291198.42          95
10280221167097.74          88
10632247800755.55         100
10673806095798.52         100
10280221167097.74         100
10533163266282.63         100
10393047274612.86          91
10393047274612.86          84
10767269675759.73         100
10393047274612.86          79
10542062106012.99         100
10312172722858.21         100
10673806333499.27         100
10393047274612.86          82
11105629239529.91         100
10160937291198.42          83
11049881394249.04         100
10632247800755.55         100
10393047274612.86          83
10160937291198.42         100
10241249476467.07         100
10673806095800.99         100
10393047274612.86          84
10793765745877.00         100
10280221167097.74          94
10393047274612.86          90
10631930054499.46         100
10160937291198.42          88
10393047274612.86          83
10160937291198.42          85
10673806095798.17         100
10280221167097.74          94
10673806097145.69         100
10160937291198.42          93
10267262797749.67         100
10393047274612.86          88
10533163266249.16         100
10241249476467.07         100
10632247800755.55         100
10393047274612.86          84
10533163266216.44         100
10306147813074.86         100
10160937291198.42          89
10160937291198.42          85
10160937291198.42          98
10393047274612.86          85
10533163266215.38         100
10280221167097.74          97
10160937291198.42          87
10393047274612.86          90
10542062108718.13         100
10160937291198.42          91
10396779389667.28          89
10393047274612.86          81
10632247800755.55         100
10673806102951.41         100
10280221167097.74         100
10430282462858.50         100
10306147813073.38         100
10160937291198.42         100
10673806095797.60         100
10393047274612.86          83
10393047274612.86          84
10533163266472.35         100
10280221167097.74         100
10533163266238.42         100
11049881394012.71         100
10306147813073.38         100
10631930054499.48         100
10160937291198.42          88
10393047274612.86          86
10393047274612.86          86
10673806095797.36         100
10430282462858.50         100
10160937291198.42          89
10673806095797.39         100
10160937291198.42          92
10280222703493.63         100
10673806095797.36         100
10393047274612.86          86
10631930054499.45         100
10306147813081.09         100
10673806095802.65         100
10533163266249.68         100
11049881393957.93         100
10533163266217.50         100
10631930054505.16         100
10280221167097.74          95
10393047274612.86          84
10673806095829.17         100
10673806095820.51         100
10160937291198.42         100
10160937291198.42          94
10393047274612.86          83
10393047274612.86          83
10533163266215.78         100
10631930054499.46         100
10767269353103.41         100
10430282462858.51         100
10160937291198.42          87
