# Cost-value  iter_max
13353942116440.47         100
13575161784446.79         100
13401766245796.73         100
13353942116441.88         100
13462251104502.22         100
13353942116443.18         100
13462329526424.84         100
13522291532441.92         100
13353942116450.22         100
13496392615087.13         100
13860018688284.91         100
13353942116440.29         100
13353942116515.87         100
13462252802221.51         100
13496392615085.53         100
13496392615085.46         100
13575161784446.80         100
13353942116449.20         100
13353942116441.00         100
13860018688284.91         100
13353942116440.09         100
13353942116454.09         100
13353942116440.37         100
13575161784446.80          98
13353942116455.50         100
13860018688284.91         100
13522291532438.73         100
13353942116440.55         100
13355141510592.57         100
13522291532403.44         100
13462944214984.16         100
13353942116440.11         100
13353942116440.09         100
13494528930443.01         100
14038751641473.86         100
13353942118258.84         100
13462252691638.41         100
13353942116441.73         100
13496392615086.29         100
13401766246145.80         100
13866497363523.27         100
13462251047818.71         100
13353942116442.92         100
13353942133950.14         100
13353942116446.33         100
13462251048055.50         100
13353942116440.63         100
13860018688284.91         100
13353942116448.68         100
13353942116445.96         100
13353942116440.04         100
13522291532741.34         100
13575161784446.80         100
13462282786744.87         100
13353942116440.33         100
13353942116440.33         100
13462252581816.92         100
13522291660153.57         100
13353942116440.18         100
13860018688286.46         100
13353942116440.81         100
13462251058601.97         100
13353942116440.98         100
13353942116440.93         100
13353942116439.98         100
13462251047209.34         100
13353942116523.37         100
13353942116442.03         100
14038751641276.41         100
13353942116442.13         100
13462251047189.77         100
13401766246954.50         100
13353942116440.11         100
13353942116500.76         100
13353942116459.33         100
13774743875392.54         100
13522291532401.27         100
13353942116441.83         100
13353942116441.84         100
13860018688284.91         100
13353942116537.12         100
13575161784446.80         100
13353942116472.28         100
13353942116442.06         100
13353955672094.04         100
13353942116472.23         100
13575161784446.80         100
13353942116444.68         100
13496392615095.04         100
13353942116441.49         100
13353942116439.95         100
13353942116443.43         100
13354308468891.09         100
13401766245899.34         100
13353942116445.55         100
13353942116440.76         100
13522291532432.99         100
13496392615087.59         100
13860018688284.91         100
13462251047585.50         100
