# Cost-value  iter_max
26942832232893.20         100
26723405760135.12         100
27683983194746.50         100
26723405756969.88         100
26723405757040.28         100
26723405757010.52         100
26942515533368.00         100
26723405757012.04         100
26723719085514.50         100
26723405781202.21         100
26942526980132.41         100
26723405756993.46         100
26723405757125.99         100
26942512088155.20         100
27683983201512.34         100
27683983198696.30         100
26723405756975.02         100
26942547401960.87         100
26723405757021.56         100
26723405756961.09         100
26723405757617.77         100
26942511313978.45         100
26723405756990.07         100
27683983196534.25         100
26723405756960.23         100
26942517916742.87         100
26723405756975.94         100
26723405758878.66         100
26723405757283.62         100
26723405756964.94         100
26942511315064.00         100
26942521425709.00         100
26942526310360.18         100
26723405757421.28         100
26942522074083.22         100
26723405793880.32         100
26942510125296.39         100
26942514643683.25         100
26723406129630.22         100
27683983197127.83         100
26723405756953.68         100
26942519739121.15         100
26726578600683.62         100
26723405757073.04         100
26723405756961.68         100
26723405760591.59         100
26723405756975.35         100
26942511944313.05         100
26723405756955.80         100
26723405825132.95         100
26723405756992.58         100
27683983201194.61         100
26723405769909.27         100
26943227647068.25         100
26723405761909.62         100
26945277501698.18         100
26942514845815.20         100
26723609009316.53         100
26723525741296.17         100
26723405757345.82         100
26942568758567.88         100
27683983198586.89         100
26723405756953.93         100
26942655107567.80         100
26942512847917.52         100
26942519187129.08         100
26723405757184.04         100
26942523862187.41         100
26723405756948.11         100
26731192330769.04         100
26942521515584.80         100
26942517757534.55         100
26723405761003.17         100
26723405756958.97         100
27683985052574.93         100
26942512935793.39         100
26723405757051.45         100
26723405758383.07         100
26942510259262.17         100
26949192823595.69         100
27683983220790.93         100
26942510231447.89         100
26942511430410.80         100
26942510074539.62         100
26723405756953.09         100
26723405756969.04         100
26723405756965.31         100
26723405756987.12         100
26723405756972.26         100
26724147746476.20         100
26942510108319.77         100
26723405782422.18         100
27683983194720.00         100
26723405757104.34         100
26942510756277.91         100
27683983234878.84         100
26724378316548.91         100
26942510276351.00         100
26723405757044.75         100
26732164112562.97         100
