# Cost-value  iter_max
18825471142664.51         100
18032847931881.05         100
18032847931881.10         100
18032847931881.05         100
18032847931881.05         100
18453145175128.09         100
18032847931881.05         100
18827285639580.43         100
18830122356366.11         100
18032847931881.16         100
18032847931881.05         100
18032847931881.11         100
18372203263787.24         100
18372203263781.13         100
18032847931881.05         100
18372203265578.84         100
18032847931881.16         100
19249920140909.93         100
18824104799381.30         100
18453137713035.20         100
18032847931881.05         100
18830539196834.57         100
18825846368091.12         100
18032847931888.88         100
18032847931881.05         100
18372203263779.36         100
18032847934081.30         100
18372203263794.48         100
18453137735139.28         100
18372203264014.06         100
18830896436612.48         100
18825666322425.98         100
18032847931881.05         100
18453137713072.07         100
18828843558084.27         100
18032847931881.05         100
19249920140936.95         100
18372203263779.08         100
18032847999243.01         100
18753410224790.04         100
18838469652972.64         100
18809217107603.96         100
18032847931881.38         100
18453137713716.82         100
18453137717656.39         100
18827444152241.62         100
18453137713069.12         100
18830136752674.48         100
18831331202662.96         100
18032847931881.53         100
18372203263778.68         100
18824963888710.00         100
19249920140919.69         100
18032847931881.05         100
18032847931881.09         100
18032847931881.06         100
18032847931881.07         100
18032847931881.05         100
18032847931881.07         100
18032847931882.14         100
18032847931881.10         100
18032847931881.05         100
18032847931881.05         100
18032847931881.05         100
18829630123526.52         100
18032847931881.05         100
18808401549456.17         100
19249920140906.13         100
18032847931881.05         100
18032847931881.05         100
18032847931881.05         100
18032847931881.05         100
18828202885818.41         100
18032847931881.06         100
19249920143248.08         100
18372203263779.89         100
18032847931881.11         100
19249920140908.67         100
18822589492030.73         100
18830685122326.42         100
18372203264010.81         100
18827771269058.09         100
18032847932069.01         100
18453137713166.83         100
18032847931881.05         100
18823318101560.38         100
18827373109315.41         100
18032847931881.12         100
18032848008955.88         100
18032847931881.05         100
18834664795336.14         100
18032847931881.05         100
18453137802180.82         100
18825466917152.58         100
18032847931881.06         100
18827376747698.94         100
18453485551570.95         100
18453137713640.57         100
18032847931881.05         100
18833893034124.34         100
