# Cost-value  iter_max
58128291354772.29         100
58128291354772.29         100
58128291354772.29         100
58128291354772.30         100
58128291354772.29         100
58128291354772.30         100
58128291354772.30         100
58128291354772.29         100
58128291354772.29         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.29         100
58128291354772.29         100
58128291354772.30         100
58128291354772.29         100
58128291354772.30         100
58128291354772.30         100
58128291354772.29         100
58128291354772.29         100
58128291354772.29         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.29         100
58128291354772.30         100
58128291354772.29         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.29         100
58128291354772.30         100
58128291354772.30         100
58128291354772.29         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.29         100
58128291354772.30         100
58128291354772.30         100
58128291354772.29         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.29         100
58128291354772.30         100
58128291354772.30         100
58128291354772.29         100
58128291354772.30         100
58128291354772.28         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.28         100
58128291354772.28         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.29         100
58128291354772.30         100
58128291354772.30         100
58128291354772.29         100
58128291354772.29         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.29         100
58128291354772.30         100
58128291354772.30         100
58128291354772.29         100
58128291354772.29         100
58128291354772.29         100
58128291354772.30         100
58128291354772.30         100
58128291354772.29         100
58128291354772.30         100
58128291354772.29         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.28         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
58128291354772.29         100
58128291354772.29         100
58128291354772.30         100
58128291354772.30         100
58128291354772.30         100
