# Cost-value  iter_max
10037860320680.56         100
9067359367949.02          83
9454317609528.76         100
9454317609527.36         100
9454317609536.95         100
9995666573648.87         100
10039842855856.67         100
9067359367949.02          80
9162981055549.79          69
9241433392753.46         100
9162981055549.79          82
9067359367949.02          82
10037860320681.95         100
9454317609530.88         100
9162981055549.79          75
8985554937262.56          99
10039855249629.89         100
9067359367949.02          77
9067359367949.02          87
9454317609527.64         100
9067359367949.02          77
9067359367949.02          84
8985554937262.56         100
9067359367949.02          86
9135024471812.53          93
9162981055549.79          69
9843625415918.79         100
8985554937262.56          91
9067359367949.02          79
9162981055549.79          83
9162981055549.79          84
9767392744231.59         100
9067359367949.02         100
9067359367949.02          93
8985554937262.56         100
9162981055549.79          82
9162981055549.79          74
9162981055549.79          77
9067359367949.02          74
9241433392753.46         100
9067359367949.02          78
8985554937262.56         100
9162981055559.65         100
9067359367949.02          81
9067359367949.03          92
9162981055549.79          80
9709891848083.32         100
9162981055549.79          75
9454317609529.98         100
9067359367949.02          89
9241433392753.46         100
9162981055549.79          83
8985554937262.56         100
9454317611628.41         100
9162981055549.79          84
9241433392753.46         100
9852105593998.94         100
9135024471812.53         100
9162981055549.79         100
9162981055549.79          80
9454317609527.57         100
8985554937262.57         100
8985554937262.56          87
9067359367949.02         100
9067359367949.02          83
9162981055549.79          79
9162981055549.79          82
9454317609561.45         100
9241433392753.46         100
9067359367949.02          77
9241433392753.46         100
9067359367949.02          80
9454317609528.06         100
9135024471812.53         100
10039847024059.84         100
9067359367949.02          86
9162981221647.08         100
9162981055549.79          76
9454317609527.28         100
9067359367949.02          75
9067359367949.02          95
9067359367949.02          78
9454317609527.29         100
9067359367949.02          87
9767392744232.29         100
9067359367949.02          81
9162981055549.79          78
9067359367949.02          76
9711318529000.61         100
9162981055549.79          85
9454317609791.83         100
10039842642229.71         100
9067359367949.02          84
9162981055549.79         100
9454317609539.52         100
8985554937262.57          97
9067359367949.02          86
9067359367949.02          80
9067359367949.02         100
8985554937262.56         100
