# Cost-value  iter_max
6679150354288.75         100
6681331338054.94         100
6636002750429.52         100
6681320287982.80         100
6694626426986.59         100
6676603276867.48         100
6636565850455.60         100
6636008621006.54         100
6674694297437.23         100
6645041384942.31         100
6600663337892.75         100
6648518616939.16         100
6636564848508.36         100
6636848432155.18         100
6603153365004.97         100
6719512196503.17         100
6630808417721.22         100
6602945407612.63         100
6653292039055.50         100
6619227090762.42         100
6604186418928.89         100
6636834814069.42         100
6642647033118.19         100
6642001454666.42         100
6601637527122.55         100
6674694255448.46         100
6602946095118.50         100
6632147420956.16         100
6642700937406.07         100
6652148946541.58         100
6631430651096.78         100
6656971653703.88         100
6604893337141.55         100
6637615477105.77         100
6609884362391.47         100
6636833816707.83         100
6714418641859.44         100
6686955793402.83         100
6637773123851.53         100
6636922939362.26         100
6609337371012.45         100
6636201529495.01         100
6653366457327.86         100
6624051905630.37         100
6601630568276.19         100
6625992717728.30         100
6721010869361.99         100
6635109847756.91         100
6643105064009.05         100
6601635473779.62         100
6600657899053.87         100
6701490143811.05         100
6624747756745.32         100
6636838299323.97         100
6603184803096.54         100
6667261978731.08         100
6638461205949.31         100
6756597271267.79         100
6689047417450.45         100
6655348924232.65         100
6648219829241.57         100
6642956006320.12         100
6656992079402.66         100
6679319371202.43         100
6625228799205.13         100
6601717342418.00         100
6636001850224.84         100
6748438682999.68         100
6671697782708.34         100
6625452622475.24         100
6683342138673.91         100
6663314460598.64         100
6624292265160.72         100
6605636901868.81         100
6674694494412.47         100
6602945407781.84         100
6636715450338.45         100
6723297786172.08         100
7246443244250.74         100
6636566750996.36         100
6636005041756.52         100
6679274432934.44         100
6636833408716.35         100
6637669554431.75         100
6690927511102.09         100
6697515054910.66         100
6636833369758.42         100
6610295843942.16         100
6600662408449.25         100
6626787939692.10         100
6642681201911.84         100
6600658373091.48         100
6608836778432.08         100
6682491091521.66         100
6636833369814.96         100
6636833369758.51         100
6636833370008.25         100
6680901448014.32         100
6636001854573.97         100
6674778099605.73         100
