# Cost-value  iter_max
44176746243233.55         100
43719561810781.77         100
43719602589752.62         100
43719561818866.99         100
44173763624245.56         100
43719564484128.13         100
43719574810640.32         100
43719570138997.91         100
43719561837611.43         100
44179453405361.80         100
44176649343700.45         100
43719573706759.88         100
43719566677764.36         100
43719561817171.29         100
44176209848127.78         100
43719561811969.27         100
44175880393683.89         100
43719565588941.66         100
43719562723327.15         100
43719571107053.73         100
43719565542508.70         100
43719561811745.44         100
43719590856794.80         100
43719561918609.51         100
43719567617264.65         100
43719562272370.72         100
43719576617709.69         100
44175616606082.58         100
44176271217699.74         100
43719561814725.88         100
44176115971261.75         100
43719565205197.16         100
43719561839012.16         100
44176637005055.72         100
43719562314433.91         100
44176540210417.35         100
43721531720883.79         100
44176304154807.73         100
43719561812777.51         100
44178265411639.91         100
43719566095592.35         100
43719561822952.22         100
43719570077025.77         100
44175922854391.33         100
43719584764261.43         100
43719564725281.48         100
44176802213970.62         100
43719561812550.54         100
43719562728073.24         100
43719561820235.52         100
43719567690004.00         100
43719561817975.18         100
43719561810454.32         100
43719566479382.82         100
43719561931290.72         100
43719611302946.94         100
43719561827280.07         100
43719562680542.97         100
43719587285897.98         100
43719562696793.69         100
43719586736680.57         100
43719566563762.09         100
43719563068215.24         100
44178194516153.41         100
43719561830351.92         100
43719568135512.43         100
43719567461792.84         100
44176568956068.54         100
43719562315937.84         100
43719561826547.52         100
43719562927000.37         100
44176696953664.95         100
43719568777869.90         100
43719562379122.98         100
44202567359092.59         100
44176557033248.62         100
43719563046794.90         100
43719561816288.42         100
44176223546849.98         100
43719571654536.45         100
43719562531942.27         100
43719562030161.27         100
43719970899423.80         100
43719561811819.27         100
43719561820557.32         100
43719565086233.97         100
43719562050929.34         100
43719562821246.75         100
43719561812047.38         100
43719565342778.57         100
44176392812360.54         100
43719561811524.07         100
43719562328062.67         100
43719567842362.51         100
44176127131453.11         100
43719561812154.81         100
43719561812428.10         100
43719592470023.20         100
43719561812746.29         100
43719561839276.30         100
