# Cost-value  iter_max
7089042212569.79         100
7092853134120.28         100
7055551201915.72         100
7145413317986.12         100
7031368953166.21         100
7072636357809.86         100
7026987085709.50         100
7050086061943.84         100
7072639060674.42         100
7092617879671.44         100
7006039400965.13         100
7058480665539.36         100
7055000669042.43         100
7093885304659.36         100
7006036552157.68         100
7087842566358.20         100
7110132478736.90         100
7032870744191.15         100
7006041093335.72         100
7031109664385.54         100
7110087648334.48         100
7061001168501.49         100
7054316874207.42         100
7006040331018.34         100
7014108315641.21         100
7039560904914.79         100
7014107376196.35         100
7087857924306.18         100
7009515060089.00         100
7006045996908.95         100
7094400810569.41         100
7092785493674.25         100
7129780251690.87         100
7050086062383.17         100
7145398115834.39         100
7006036619564.96         100
7069788233296.31         100
7011337758413.03         100
7519701052529.55         100
7031440860569.73         100
7695588660465.52         100
7058267718266.87         100
7110087647831.20         100
7055002365600.66         100
7079596778725.54         100
7643820612788.04         100
7006036552156.95         100
7092710904802.15         100
7034649790599.87         100
7040085358455.71         100
7069340977612.32         100
7014107381210.12         100
7145516702843.36         100
7092902921021.81         100
7006036552404.98         100
7061001507300.96         100
7106507018941.77         100
7014107380576.20         100
7109308817016.68         100
7050086294551.60         100
7119927848672.33         100
7093836773953.46         100
7038849865988.47         100
7119927801433.65         100
7069315396685.15         100
7068814269238.28         100
7052376152388.89         100
7006036552201.22         100
7075685089340.12         100
7087844304611.18         100
7038892704795.86         100
7006036552156.95         100
7014107375897.14         100
7087846852300.79         100
7006036552157.02         100
7067021366748.85         100
7110761305158.93         100
7063828070497.95         100
7038920712778.14         100
7088003199629.38         100
7033838517463.23         100
7006036552156.94         100
7068766823089.87         100
7142825822032.00         100
7087880665755.92         100
7088075692560.07         100
7139277520687.45         100
7069644258886.93         100
7006036552157.43         100
7072636332826.64         100
7038392466778.50         100
7087306617534.76         100
7137596034293.31         100
7038316728618.11         100
7087849031282.58         100
7006038331587.69         100
7072636315074.78         100
7006036658301.43         100
7140981555398.04         100
7014107375940.73         100
