# Cost-value  iter_max
21959253953045.88         100
22391175095779.44         100
21959253953139.95         100
21959253953045.88         100
21959253953045.88         100
21959253955897.58         100
21959253953056.01         100
21845272643717.32         100
22362627480390.52         100
22419526206724.91         100
22362627478215.91         100
21845266543476.78         100
21845266541756.37         100
21959253953057.82         100
21845266542192.71         100
22362627478645.22         100
21845266541642.43         100
21845287013052.23         100
21845266541636.82         100
22419532764767.11         100
21845266929897.37         100
22391175095779.45         100
21959253953045.98         100
21959258003967.89         100
21959253953067.86         100
22391175095779.44         100
21845266545980.89         100
22362627539140.82         100
21845266572250.09         100
21959253953046.22         100
21959253953045.88         100
22419542772212.71         100
21959253953447.61         100
22391175095779.44         100
21959253953095.55         100
21845266554265.88         100
21959253953045.92         100
21959253953045.92         100
21845268631394.65         100
22362627478875.82         100
22362627478268.85         100
22362686693144.36         100
21845266541941.14         100
22362627478227.38         100
21959255261182.93         100
21845266541780.86         100
21845266541908.81         100
21959258924677.27         100
21845266691854.39         100
21959254167487.64         100
21845266541650.31         100
21845266542246.57         100
21845266541622.11         100
22362627478545.84         100
22419526939713.66         100
21959253953045.88         100
22362627492278.71         100
22326116233674.80         100
22362627483051.75         100
22362627478259.30         100
21959253953078.18         100
21845271184567.48         100
22211253721160.59         100
22362627478531.14         100
21845266543600.35         100
21959253954250.52         100
21845266541872.62         100
21845285215481.78         100
21845266541734.27         100
22362627478539.70         100
22362627478318.62         100
21959253953045.88         100
21959253953045.88         100
22419553356706.14         100
21959253953939.12         100
21959253954118.02         100
21845266543425.18         100
22419540402344.44         100
21959253953069.03         100
22362735864198.19         100
21959253953047.60         100
22362627478510.16         100
22362627478217.73         100
21959253953045.91         100
22362627478201.43         100
22419536103917.39         100
21845266541640.02         100
21959253953045.88         100
21845266541624.89         100
21959253953045.91         100
21959253953057.05         100
22419537331539.86         100
21845303812840.05         100
21959253955368.28         100
22362627478862.80         100
22419534272579.84         100
21845266541671.57         100
21846047355577.63         100
22362627479507.20         100
21845266541954.95         100
