# Cost-value  iter_max
7524417710604.78         100
7547613819414.23         100
7530415971522.41         100
8040911201931.83         100
7490370244386.54         100
7490309976256.73         100
7530415992887.36         100
7487395641243.11         100
7550068680746.47         100
7487395641243.09         100
7970554547650.83         100
7484586606770.75         100
7508405254894.59         100
7501578161690.89         100
7487395641243.09         100
7498034721339.89         100
7976752066215.87         100
7490332795103.50         100
7508809027007.70         100
7509085044408.44         100
7508773725018.21         100
7484586609318.70         100
7484586606770.75         100
7532875745328.68         100
7532875749207.93         100
7508708581841.70         100
7508834442301.94         100
7487395641243.11         100
7490309782938.30         100
8144889924523.15         100
7487395641243.09         100
7487395641265.82         100
7975892081910.04         100
7508824995274.81         100
7521823866891.59         100
7508172460032.21         100
7508452604450.72         100
7509116883865.59         100
7484607754562.93         100
7532875745327.51         100
7487395641243.09         100
7508918883730.05         100
7508979666474.64         100
8016295736674.65         100
8143881315280.27         100
7487395641243.11         100
8049940465646.59         100
7487395641297.75         100
7537618261490.38         100
7547613307976.87         100
7487395641243.13         100
7998357544521.36         100
7510171259935.96         100
7532875750306.98         100
7487395641243.09         100
7486161651449.37         100
8109685617923.60         100
7507038582282.58         100
7508594246180.78         100
8098518373413.56         100
7547616002102.49         100
7508382084072.51         100
7508803724478.58         100
7484586606776.37         100
7484586606770.75         100
7487395641243.18         100
7509469465463.36         100
7503059860216.27         100
7508713176913.78         100
7532875745336.69         100
7558572469769.75         100
7527619328695.74         100
7547613328942.60         100
7487395641243.09         100
8139961043577.22         100
7508767080778.05         100
7521823866809.80         100
7532936884825.47         100
7507474992974.95         100
7508442723976.27         100
7509617286521.98         100
7959066622784.16         100
7974909331688.44         100
7521823866708.01         100
7506785386046.42         100
7522656442610.11         100
7508182571227.83         100
7508753030553.22         100
7508647954633.82         100
7530416014072.97         100
7532875745334.90         100
7508710284308.27         100
7508875508113.05         100
7508889681313.58         100
7975063747892.08         100
7490332719993.81         100
7521823866878.45         100
7487395641243.09         100
7532875751377.35         100
7508232075287.99         100
