# Cost-value  iter_max
6272536551046.68         100
6245906358708.69         100
6286114956979.61         100
6311747851040.10         100
6256070981888.13         100
6246576855549.46         100
6267673400678.06         100
6267253101314.58         100
6400152780275.12         100
6326740290773.80         100
6254714926466.68         100
6262806509759.32         100
6215087188870.58         100
6302767803810.39         100
6255947837828.80         100
6292812771687.60         100
6248966307603.66         100
6245490282415.34         100
6245907695595.77         100
6278117683789.50         100
6249015672776.86         100
6255795250882.33         100
6246576976083.74         100
6269392657246.17         100
6253018410708.33         100
6214952060677.87         100
6244458874747.69         100
6261610081972.92         100
6257389612946.14         100
6363054682784.35         100
6256274472457.17         100
6259354815035.33         100
6310514774031.24         100
6312580214516.07         100
6278467759832.44         100
6382468382852.23         100
6308579664418.08         100
6248965560148.15         100
6249004313150.54         100
6298699317928.91         100
6252596367204.90         100
6246576862074.79         100
6248968729613.10         100
6300222845841.07         100
6261263985455.94         100
6304394307324.59         100
6342531653025.24         100
6256882510286.84         100
6294459148960.47         100
6214953614577.96         100
6241246534737.65         100
6311022195219.12         100
6251899647833.03         100
6265908802951.83         100
6251818001667.84         100
6274041383601.04         100
6293909668795.09         100
6325959643767.30         100
6259849106883.72         100
6243943610230.67         100
6249016895106.63         100
6290529609055.12         100
6337182170673.41         100
6410056163565.18         100
6255794885949.82         100
6261714289345.95         100
6249120620746.53         100
6252579942335.21         100
6299694903655.61         100
6250109325654.53         100
6248965516980.31         100
6267671180308.49         100
6270267445989.97         100
6255794241078.10         100
6333891736502.03         100
6249049656192.54         100
6256029472497.62         100
6255794868992.82         100
6310280588791.14         100
6279810170690.68         100
6323405914082.32         100
6312025224062.66         100
6263609178759.49         100
6260148914182.96         100
6299422064313.75         100
6288187474060.57         100
6259208514627.82         100
6273676475125.53         100
6256414620720.44         100
6281273380689.39         100
6338707813851.98         100
6256013697928.67         100
6221508393317.83         100
6246576855939.11         100
6335062548789.04         100
6250470022040.94         100
6334264341087.71         100
6301477663600.79         100
6313267637677.98         100
6315218308827.23         100
