# Cost-value  iter_max
15588691669076.91         100
15906960194776.03         100
15270663056750.36         100
15588691669076.87         100
15803437963863.08         100
15270663057054.21         100
16420222375264.94         100
15588691669076.86         100
15270663056746.83         100
15588691669080.16         100
15270663056747.21         100
15270663057851.63         100
15910397570279.47         100
15270663056870.12         100
15270663056850.86         100
15937929071162.75         100
15270663056995.40         100
16305377337716.33         100
15270663056747.08         100
15270663056887.92         100
15588691669076.87         100
15270663056746.71         100
15588691669076.86         100
15588691669076.86         100
15270663056774.51         100
15270663057132.81         100
15270663057197.74         100
15270663056796.55         100
15270663056881.08         100
15270663056747.10         100
16416261909142.28         100
15588691669076.86         100
15588691669076.87         100
15270663056759.01         100
15270663057085.08         100
15270663057702.54         100
15270663056761.53         100
15588691669076.93         100
15803437963863.08         100
15588691669076.87         100
15910397560786.20         100
15270663056759.30         100
15270663056786.54         100
15588691669076.87         100
15906960194715.24         100
15270663068978.01         100
15270663060878.14         100
15803437963863.08         100
15270663056761.17         100
15270663056803.72         100
15270663056847.88         100
15270663062700.61         100
15270663056798.73         100
15588691669076.86         100
15588691669076.86         100
15270663056971.61         100
15270663056800.69         100
15270663056764.38         100
15906960194705.57         100
15588691669076.92         100
16420295867165.28         100
16419975967642.43         100
15270663056760.59         100
15270663056748.83         100
15270663056777.85         100
15270663056753.93         100
16762873680388.68         100
15906960194718.73         100
15588691669076.86         100
15906960194753.74         100
15588691669076.87         100
16760066887249.00         100
16416259295390.32         100
15588691669076.87         100
15270663056748.07         100
15803437963863.08         100
15270663056746.86         100
15906960194702.13         100
15270663056746.99         100
15270663056748.38         100
15588691669077.61         100
15588691669076.86         100
16420295592314.89         100
15270663056757.44         100
15270663056767.09         100
15270663056763.60         100
15270663056752.73         100
15588691669681.08         100
15803437963863.08         100
15588691669076.93         100
15803437963863.08         100
16416259308048.53         100
15270663056751.21         100
16416293081701.43         100
15270663056790.71         100
15270663056747.02         100
16420268385754.22         100
15270663056747.12         100
15588691669076.87         100
16416259894151.12         100
