# Cost-value  iter_max
8633578029697.94         100
8495456494934.26         100
8514739055580.26         100
8624337413215.29         100
7988109136493.69         100
7988108819322.49          82
7988108819322.49          86
8514739057054.31         100
8616984907133.25         100
8452309513942.08         100
7988108819322.49          73
7988108819322.49          93
7988108819322.49          89
7988108819322.49         100
7988108819322.49          83
8623502446119.47         100
7988108819322.49          76
7988112179603.03         100
8514739055582.17         100
8621877037008.34         100
8623610965265.70         100
7988108819322.49          75
7988108819322.49          80
7988108819322.49          95
7988108819322.49         100
8453917515768.24         100
8514739055595.80         100
8495456494936.33         100
8555911745905.69         100
7988108819322.49          82
8666700249204.23         100
8447465295899.25         100
7988108819322.49         100
8447465295899.26         100
7988108819322.49         100
7988108819322.49          79
7988108819324.20         100
7988108819322.49          85
8583289892457.04         100
8882098721533.65         100
7988108819322.49         100
7988108819322.49          78
7988108819322.49          75
7988108819322.49          75
7988108819322.49          78
7988108819322.49         100
7988108819357.11         100
8514739055580.38         100
7988108819322.49          88
7988108819322.49          73
7988108819322.49          76
8623535888276.08         100
7988108819322.49          78
8495456494937.18         100
7988108819322.49          67
7988139119677.34         100
7988108819322.49          77
7988108819322.49          89
8603479915076.29         100
7988108819322.49          74
7988108819322.49          68
7988108819322.49          75
8666700258297.48         100
8452629021939.95         100
7988108819322.49         100
7988108819322.49          73
8474701889124.87         100
7988108819322.49          85
8879791293239.65         100
7988108819322.49          77
7988108819322.49          74
7988108819322.49          77
7988108819322.49          88
7988108819322.49          72
7988108819322.49          83
7988108819322.49          79
8642591972372.76         100
8633576635853.94         100
7988108819322.49          86
8624443482136.59         100
7988108819322.49         100
8514739055580.39         100
7988108819322.49         100
7988108819322.49          79
7988108819322.49          86
7988108819322.49          78
8620744456419.74         100
8660493049800.28         100
7988108819322.49          92
7988108819322.49          68
7988108819322.49          90
7988108819322.49          82
8599698680782.66         100
7988108819322.49         100
8603479915076.27         100
8668609459024.69         100
7988114619598.53         100
7988108819322.49          80
8617563711372.74         100
7988108819322.49          75
