# Cost-value  iter_max
11818184132807.79         100
11631858697528.63          94
11818184133367.25         100
11818184132836.42         100
12013074902798.35         100
11631858697528.64          94
11818184132811.10         100
12064183146674.39         100
11818184133087.12         100
11801947651762.74         100
12013074902798.34         100
11879123194560.56         100
11931980985160.64         100
12111412612992.57         100
11879123194202.06         100
11818184133163.70         100
11631858697528.64         100
11931980985117.32         100
11767744392401.68         100
11879123193930.25         100
11631858697528.64          93
12013074902798.32         100
12013074902798.86         100
12094498156620.70         100
11879123910892.32         100
11631858697528.64          96
11631858697528.64          95
11879123193948.17         100
12094498156620.70         100
11818184132799.70         100
11680426708389.53         100
12013074903070.35         100
12064183153133.25         100
12013074902798.33         100
11879123193937.14         100
12071306560605.66         100
12013074902799.29         100
11818184132964.01         100
11932368227621.44         100
11818184132802.77         100
11931980985291.58         100
12028261752202.63         100
12064183146669.04         100
11631858697528.64          92
11959552539107.73         100
11767744392401.78         100
12013074902798.33         100
11879123194131.31         100
11879123618887.66         100
11879123194206.78         100
11879123193930.90         100
12013080064684.50         100
12094498156620.71         100
12013074902798.34         100
12111412611487.22         100
12013074902798.32         100
11818184134502.07         100
11959552426620.02         100
11631858697528.64          98
11818184132806.50         100
11631858697528.64          91
11818184132813.08         100
12064183146664.87         100
11879123193930.61         100
12013074902798.60         100
12013074902798.54         100
12064183146665.24         100
11668760961554.56          98
11631858697528.64          98
11818184132868.14         100
11767744392401.34         100
11879123193938.49         100
11631858697528.64          97
11631858697528.64          98
11680426708389.52         100
11879123194077.99         100
12064183146685.24         100
11680426720951.87         100
11631858697528.64          91
11818184160388.97         100
11932368227621.44         100
11801947652270.93         100
11631858697528.64         100
12064183147615.95         100
12111412611487.22         100
11959552432051.85         100
11680426708389.53         100
11631858697528.64          94
11631858697528.64          91
11818184132796.73         100
11668760961554.56         100
12013074902798.54         100
11818184132883.07         100
11879123193932.40         100
12111412611487.22         100
11631858697528.64          98
12064183146670.00         100
11879123194847.01         100
12273899853315.91         100
11879123193932.23         100
